COD_LOCALE_PROGETTO;DEN_REGIONE;DEN_PROVINCIA;DEN_COMUNE;INDIRIZZO_PROG;OC_TITOLO_PROGETTO;OC_SINTESI_PROGETTO;DESCRIZIONE_GRANDE_PROGETTO;CUP_DESCR_CATEGORIA;CUP_DESCR_NATURA;CUP_DESCR_TIPOLOGIA;CUP_DESCR_SETTORE;CUP_DESCR_SOTTOSETTORE;OC_DATA_INIZIO_PROGETTO;FINANZ_TOTALE_PUBBLICO;label
5MA16653;MARCHE;ASCOLI PICENO;Ascoli Piceno;ZONA INDUSTRIALE BASSO MARINO 112;CODICE PROGETTO: 16653 - POR MARCHE FESR 2014/2020 Â  ASSE 8 Â  OS 21 - AZIONE 21.1 - INTERVENTO 21.1.1 - SOSTEGNO AGLI INVESTIMENTI PRODUTTIVI AL FINE DEL RILASCIO DELLA CRESCITA ECONOMICA E DELLA COMPETITIVITÃ  DELLE AREE COLPITE DAL SISMA;CODICE PROGETTO: 16653 - POR MARCHE FESR 2014/2020 Â  ASSE 8 Â  OS 21 - AZIONE 21.1 - INTERVENTO 21.1.1 - SOSTEGNO AGLI INVESTIMENTI PRODUTTIVI AL FINE DEL RILASCIO DELLA CRESCITA ECONOMICA E DELLA COMPETITIVITÃ  DELLE AREE COLPITE DAL SISMA;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Altro;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20181115;193050.0;s3_2
5MA10065;MARCHE;ANCONA;Sassoferrato;ZONA INDUSTRIALE BERBENTINA 5;CODICE PROGETTO: 10065 - POR MARCHE FESR 2014-2020 Â¿ ASSE 3 Â¿ OS 7 Â¿ AZIONE 7.1  Â¿SOSTEGNO ALLÂ¿AVVIAMENTO, ALLO SVILUPPO E ALLA CONTINUITÃ  DI IMPRESA NELLE AREE DI CRISI  PRODUTTIVAÂ¿ - PROGETTI DI INVESTIMENTI PRODUTTIVI;CODICE PROGETTO: 10065 - POR MARCHE FESR 2014-2020 Â¿ ASSE 3 Â¿ OS 7 Â¿ AZIONE 7.1  Â¿SOSTEGNO ALLÂ¿AVVIAMENTO, ALLO SVILUPPO E ALLA CONTINUITÃ  DI IMPRESA NELLE AREE DI CRISI  PRODUTTIVAÂ¿ - PROGETTI DI INVESTIMENTI PRODUTTIVI;"";IMPIANTI, MACCHINARI ED ANNESSE OPERE MURARIE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Ammodernamento con efficientamento energetico;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;20170614;136125.0;s3_3
5MA10454;MARCHE;ANCONA;Jesi;Via AGOSTINO NOVELLO 1;CODICE PROGETTO: 10454 - POR MARCHE FESR 2014-2020 - AZIONE 1.3.3.1. - SELEZIONE DELLE IDEE PROGETTUALI DA AMMETTERE AL SECONDO STADIO DELLA PROCEDURA SELETTIVA PREVISTA DAL BANDO DI CUI AL DDPF N. 118/IRE DEL 04/12/2015;CODICE PROGETTO: 10454 - POR MARCHE FESR 2014-2020 - AZIONE 1.3.3.1. - SELEZIONE DELLE IDEE PROGETTUALI DA AMMETTERE AL SECONDO STADIO DELLA PROCEDURA SELETTIVA PREVISTA DAL BANDO DI CUI AL DDPF N. 118/IRE DEL 04/12/2015;"";PROTEZIONE E PROMOZIONE DELLA SALUTE UMANA;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI DIFFUSIONE E COOPERAZIONE PUBBLICO-PRIVATA;20170119;949344.05;s3_2
1MISEARS01_01031/4;MARCHE;ANCONA;Ancona;Via Brecce Bianche, 12;METODI E STRUMENTI INNOVATIVI PER IL REACTIVE PRODUCT DESIGN AND MANUFACTURING;METODI E STRUMENTI INNOVATIVI PER IL REACTIVE PRODUCT DESIGN AND MANUFACTURING;"";ALTRE RICERCHE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA PRESSO UNIVERSITA' E ISTITUTI DI RICERCA;20180401;466152.0;s3_4
1MISEARS01_00914/1;MARCHE;ASCOLI PICENO;Ascoli Piceno;Viale della Rimembranza snc;DESIGN SOSTENIBILE DI SISTEMI DI ARREDO INTELLIGENTI CON FUNZIONE SALVA-VITA DURANTE EVENTI SISMICI;DESIGN SOSTENIBILE DI SISTEMI DI ARREDO INTELLIGENTI CON FUNZIONE SALVA-VITA DURANTE EVENTI SISMICI;"";ALTRE RICERCHE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA PRESSO UNIVERSITA' E ISTITUTI DI RICERCA;20180604;490000.0;s3_4
5MA18087;MARCHE;MACERATA;Camerino;Via Madonna delle Carceri 9;CODICE PROGETTO: 18087 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿PROMUOVERE LA PARTECIPAZIONE DELLE IMPRESE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA, SOSTENENDONE LA PROGETTUALITÃ ;CODICE PROGETTO: 18087 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿PROMUOVERE LA PARTECIPAZIONE DELLE IMPRESE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA, SOSTENENDONE LA PROGETTUALITÃ ;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Altro;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20190307;7500.0;s3_2
5MA14526;MARCHE;ASCOLI PICENO;Ascoli Piceno;Via Via Parma  16;CODICE PROGETTO: 14526 - POR MARCHE FESR 2014/2020 Â¿ ASSE 8 Â¿ OS 19 - AZIONE 19.1.1 - INGEGNERIZZAZIONE, INDUSTRIALIZZAZIONE DEI RISULTATI DELLA RICERCA LINEE PILOTA/PRIMA VALIDAZIONE DEI PRODOTTI E VALORIZZAZIONE ECONOMICA DELLÂ¿INNOVAZIONE NELLE AREE COLPITE DAL SISMA.;CODICE PROGETTO: 14526 - POR MARCHE FESR 2014/2020 Â¿ ASSE 8 Â¿ OS 19 - AZIONE 19.1.1 - INGEGNERIZZAZIONE, INDUSTRIALIZZAZIONE DEI RISULTATI DELLA RICERCA LINEE PILOTA/PRIMA VALIDAZIONE DEI PRODOTTI E VALORIZZAZIONE ECONOMICA DELLÂ¿INNOVAZIONE NELLE AREE COLPITE DAL SISMA.;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20181025;87500.0;s3_2
5MA13449;MARCHE;MACERATA;Cingoli;LOCALITA' CERRETE COLLICELLI SNC;CODICE PROGETTO: 13449 - POR MARCHE FESR 2014-2020 - ASSE 8  Â¿ AZIONE 21.1 Â¿MANIFATTURA E LAVORO 4.0 Â¿ SOSTEGNO AI PROCESSI DI INNOVAZIONE AZIENDALE E ALLÂ¿ UTILIZZO DI NUOVE TECNOLOGIE DIGITALI NELLE MPMI MARCHIGIANEÂ¿-;CODICE PROGETTO: 13449 - POR MARCHE FESR 2014-2020 - ASSE 8  Â¿ AZIONE 21.1 Â¿MANIFATTURA E LAVORO 4.0 Â¿ SOSTEGNO AI PROCESSI DI INNOVAZIONE AZIENDALE E ALLÂ¿ UTILIZZO DI NUOVE TECNOLOGIE DIGITALI NELLE MPMI MARCHIGIANEÂ¿-;"";INNOVAZIONE PROCESSI E PRODOTTI;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Ammodernamento con efficientamento energetico;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20180326;69390.65;s3_3
5MA13651;MARCHE;MACERATA;Tolentino;CONTRADA ROTONDO 10 B/C/D;CODICE PROGETTO: 13651 - POR MARCHE FESR 2014-2020 - ASSE 8  Â¿ AZIONE 21.1 Â¿MANIFATTURA E LAVORO 4.0 Â¿ SOSTEGNO AI PROCESSI DI INNOVAZIONE AZIENDALE E ALLÂ¿ UTILIZZO DI NUOVE TECNOLOGIE DIGITALI NELLE MPMI MARCHIGIANEÂ¿-;CODICE PROGETTO: 13651 - POR MARCHE FESR 2014-2020 - ASSE 8  Â¿ AZIONE 21.1 Â¿MANIFATTURA E LAVORO 4.0 Â¿ SOSTEGNO AI PROCESSI DI INNOVAZIONE AZIENDALE E ALLÂ¿ UTILIZZO DI NUOVE TECNOLOGIE DIGITALI NELLE MPMI MARCHIGIANEÂ¿-;"";INNOVAZIONE PROCESSI E PRODOTTI;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Ammodernamento con efficientamento energetico;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20180326;43600.0;s3_3
5MA17327;MARCHE;PESARO E URBINO;Cartoceto;Via S. Anna 131-135;"\"CODICE PROGETTO: 17327 - POR MARCHE FESR 2014/2020 Â¿ASSE 1 Â¿OS 2 Â¿AZIONE 2.1 -INTERVENTO 2.1.1- SOSTEGNO ALLO SVILUPPO DI UNA PIATTAFORMA  DI RICERCA COLLABORATIVA NEGLI  AMBITI DELLA SPECIALIZZAZIONE INTELLIGENTE   AREA TEMATICA: \"\"MEDICINA PERSONALIZZATA, FARMACI E NUOVI APPROCCI TERAPEUTICI\"\"\"";"\"CODICE PROGETTO: 17327 - POR MARCHE FESR 2014/2020 Â¿ASSE 1 Â¿OS 2 Â¿AZIONE 2.1 -INTERVENTO 2.1.1- SOSTEGNO ALLO SVILUPPO DI UNA PIATTAFORMA  DI RICERCA COLLABORATIVA NEGLI  AMBITI DELLA SPECIALIZZAZIONE INTELLIGENTE   AREA TEMATICA: \"\"MEDICINA PERSONALIZZATA, FARMACI E NUOVI APPROCCI TERAPEUTICI\"\"\"";"";PROTEZIONE E PROMOZIONE DELLA SALUTE UMANA;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI DIFFUSIONE E COOPERAZIONE PUBBLICO-PRIVATA;20191122;5465367.8;s3_2
